Model,Domain,Task,Organization,Authors,Publication date,Reference,Link,Citations,Notability criteria,Notability criteria notes,Parameters,Parameters notes,Training compute (FLOP),Training compute notes,Training dataset,Training dataset notes,Training dataset size (datapoints),Dataset size notes,Epochs,Training time (hours),Training time notes,Training hardware,Hardware quantity,Compute cost notes,Compute sponsor categorization,Abstract,Model accessibility,Hardware utilization,Confidence,Country (from Organization),Base model,Finetune compute (FLOP),Finetune compute notes,Batch size,Batch size notes,Organization categorization,Training code accessibility,Accessibility notes,Organization categorization (from Organization),Possibly over 1e23 FLOP,Frontier model,Training power draw (W),Training compute estimation method
Machine learning a model for RNA structure prediction,Biology,RNA structure prediction,"International School for Advanced Studies,Institute of Structural Biology,Technical University of Munich","Nicola Calonaci, Alisha Jones, Francesca Cuturello, Michael Sattler, Giovanni Bussi",2020-11-16,Machine learning a model for RNA structure prediction ,https://academic.oup.com/nargab/article/2/4/lqaa090/5983421,32.00,,,,,1799999999999987000.00,"1. Hardware setup: 
576 CPUs (288 nodes × 2 CPUs/node), Intel Xeon E5-2683 v4
FLOP/s per CPU: 2.688 × 10¹¹ FLOP/s
Total system: 1.548288 × 10¹⁴ FLOP/s

2. Training duration: 
Directly provided: 8 hours = 28,800 seconds

3. Utilization rate: 
40% (0.4)

4. Final calculation:
1.548288 × 10¹⁴ FLOP/s × 28,800s × 0.4 = 1.78 × 10¹⁸ FLOPs",,,4001,"(52 + 388) / 2 = 220 nucleotides per RNA
18 RNA molecules × 220 nucleotides = 3,960 datapoints
Rounded to: 4,000 datapoints",,,,,,,,"RNA function crucially depends on its structure. Thermodynamic models currently used for secondary structure prediction rely on computing the partition function of folding ensembles, and can thus estimate minimum free-energy structures and ensemble populations. These models sometimes fail in identifying native structures unless complemented by auxiliary experimental data. Here, we build a set of models that combine thermodynamic parameters, chemical probing data (DMS and SHAPE) and co-evolutionary data (direct coupling analysis) through a network that outputs perturbations to the ensemble free energy. Perturbations are trained to increase the ensemble populations of a representative set of known native RNA structures. In the chemical probing nodes of the network, a convolutional window combines neighboring reactivities, enlightening their structural information content and the contribution of local conformational ensembles. Regularization is used to limit overfitting and improve transferability. The most transferable model is selected through a cross-validation strategy that estimates the performance of models on systems on which they are not trained. With the selected model we obtain increased ensemble populations for native structures and more accurate predictions in an independent validation set. The flexibility of the approach allows the model to be easily retrained and adapted to incorporate arbitrary experimental information.",,,Unverified,"Italy,Germany,Germany",,,,,,"Academia,Academia,Academia",,,"Academia,Academia,Academia",,,,Hardware
RNA-FrameFlow,Biology,RNA design,"National University of Singapore,Prescient Design,University of Missouri,University of Cambridge","Rishabh Anand, Chaitanya K. Joshi, Alex Morehead, Arian R. Jamasb, Charles Harris, Simon V. Mathis, Kieran Didi, Bryan Hooi, Pietro Liò",2024-06-19,RNA-FrameFlow: Flow Matching for de novo 3D RNA Backbone Design,https://arxiv.org/abs/2406.13839,1.00,,,,,14000000000000119000.00,"1. Hardware: 4x NVIDIA GeForce RTX 3090 (1.60e+14 FLOP/s per GPU)
2. Training duration: 15 hours (directly provided) = 54,000 seconds
3. Utilization: 40%
4. Calculation: 1.60e+14 FLOP/s × 4 GPUs × 54,000 seconds × 0.4 = 1.4e+19 FLOPs",,,638001,"6,382 sequences = 5,319 (primary) + 1,063 (augmented)
638,200 datapoints = 6,382 sequences × 100 nucleotides/sequence

Final estimate: 638,200 datapoints",,,,,,,,,,,Unverified,"Singapore,United States of America,United States of America,United Kingdom of Great Britain and Northern Ireland",,,,,,"Academia,Industry,Academia,Academia",,,"Academia,Industry,Academia,Academia",,,,Hardware
GPT-MolBERTa,Biology,Molecular property prediction,Carnegie Mellon University (CMU),"Suryanarayanan Balaji, Rishikesh Magar, Yayati Jadhav, Amir Barati Farimani",2023-09-20,GPT-MolBERTa: GPT Molecular Features Language Model for molecular property prediction,https://arxiv.org/abs/2310.03030,11.00,,,,,,,,,32600001,"326,000 molecules × 100 tokens/molecule = 32,600,000 (3.26e7) total tokens",,,,,,,,"With the emergence of Transformer architectures and their powerful understanding of textual data, a new horizon has opened up to predict the molecular properties based on text description. While SMILES are the most common form of representation, they are lacking robustness, rich information and canonicity, which limit their effectiveness in becoming generalizable representations. Here, we present GPT-MolBERTa, a self-supervised large language model (LLM) which uses detailed textual descriptions of molecules to predict their properties. A text based description of 326000 molecules were collected using ChatGPT and used to train LLM to learn the representation of molecules. To predict the properties for the downstream tasks, both BERT and RoBERTa models were used in the finetuning stage. Experiments show that GPT-MolBERTa performs well on various molecule property benchmarks, and approaching state of the art performance in regression tasks. Additionally, further analysis of the attention mechanisms show that GPT-MolBERTa is able to pick up important information from the input textual data, displaying the interpretability of the model.",,,Unverified,United States of America,,,,,,Academia,,,Academia,,,,
MahLool,Biology,Protein property prediction,University of Rochester,"Mehrad Ansari, Andrew D. White",2023-04-03,"Serverless Prediction of Peptide Properties with Recurrent Neural
Networks",https://pubs.acs.org/doi/full/10.1021/acs.jcim.2c01317,0.00,,,,,,,,,8990001,"DATA TOKENS = 44,954 sequences * 200 amino acids/sequence = 8,990,800 tokens
FINAL = 8,990,800 (8.99e6) unique tokens seen in first epoch

Key calculations:
- Total sequences: 9,316 + 18,453 + 17,185 = 44,954
- Total tokens: 44,954 * 200 = 8,990,800",,,,,,,,"We present three deep learning sequence-based prediction models for peptide properties including hemolysis, solubility, and resistance to nonspecific interactions that achieve comparable results to the state-of-the-art models. Our sequence-based solubility predictor, MahLooL, outperforms the current state-of-the-art methods for short peptides. These models are implemented as a static website without the use of a dedicated server or cloud computing. Web-based models like this allow for accessible and effective reproducibility. Most existing approaches rely on third-party servers that typically require upkeep and maintenance. Our predictive models do not require servers, require no installation of dependencies, and work across a range of devices. The specific architecture is bidirectional recurrent neural networks. This serverless approach is a demonstration of edge machine learning that removes the dependence on cloud providers. The code and models are accessible at https://github.com/ur-whitelab/peptide-dashboard.",,,Unverified,United States of America,,,,,,Academia,,,Academia,,,,
PLAPT,Biology,Protein-ligand binding affinity prediction,"Wolfram Research,ASC27,Newport High School,Sanskriti School","Tyler Rose, Nicolò Monti, Navvye Anand, Tianyu Shen",2024-02-12,PLAPT: Protein-Ligand Binding Affinity Prediction Using Pretrained Transformers,https://www.biorxiv.org/content/10.1101/2024.02.08.575577v3.abstract,1.00,,,1474624.00,"""Figure 3: The prediction module takes a 1792x1 feature vector as its input, which is then partitioned into two streams: The first stream processes the first 1024 indices of the feature vector through a 512-node protein-specific linear layer, followed by a ReLU activation function. Concurrently, the second stream processes the latter 768 feature indices through a similar 512-node moleculespecific linear layer, also followed by a ReLU activation.  Outputs from both streams are concatenated into a single vector of 1024 elements. This combined vector is passed through a batch normalization layer with a momentum of 0.9 and epsilon of 0.001. The vector is then fed through the 512-node Linear Layer 1 and ReLU activation. A dropout layer with a probability of 20% is then applied to mitigate overfitting.  Following the dropout layer, the prediction module continues to reduce the feature space with the 64-node Linear Layer 2 with ReLU activation, before reaching the single node Linear Layer 3. This layer outputs the predicted scalar value representing the normalized negative log10 affinity value, which is then un-normalized.""  (512 * 1024) + (512 * 768) + (512 * 1024) + (64 * 512) + 64 = 1474624",796296960000.00,"1474624 connections; 90,000 training examples; assuming only one epoch (no mention otherwise). ",,,313000001,"Training set: 90,000 samples
Tokens per sample: 3,200 (protein) + 278 (ligand) = 3,478
Total tokens = 90,000 × 3,478 = 313,020,000 (3.13e8) tokens",,,,NVIDIA GeForce RTX 4060 Ti,1,,,"Predicting protein-ligand binding affinity is crucial for drug discovery, as it enables efficient identification of drug candidates. We introduce PLAPT, a novel model utilizing transfer learning from pre-trained transformers like ProtBERT and ChemBERTa to predict binding affinities with high accuracy. Our method processes one-dimensional protein and ligand sequences, leveraging a branching neural network architecture for feature integration and affinity estimation. We demonstrate PLAPT’s superior performance through validation on multiple datasets, achieving state-of-the-art results while requiring significantly less computational resources for training compared to existing models. Our findings indicate that PLAPT offers a highly effective and accessible approach for accelerating drug discovery efforts.",,,Unverified,"United States of America,Italy,United States of America,India",,,,,,"Industry,Industry,Academia",,,"Industry,Industry,Academia",,,353.2155262475759,Operation counting
SYNTERACT,Biology,Protein interaction prediction,University of Delaware,"Logan Hallee, Jason P. Gleghorn",2023-06-09,Protein-Protein Interaction Prediction is Achievable with Large Language Models,https://www.biorxiv.org/content/10.1101/2023.06.07.544109v1.abstract,,,,,,,,,,180000001,"353,976 pairs × 500 avg amino acids = 176,988,000 tokens ≈ 1.8 × 10⁸ tokens

{pairs calculation: 179,018 + 3,958 + 170,000 = 353,976}",,,,,,,,"Predicting protein-protein interactions (PPIs) is vital for elucidating fundamental biology, designing peptide therapeutics, and for high-throughput protein annotation. This is particularly relevant in the current biotechnology landscape characterized by the proliferation of protein generative models, which necessitate a high-throughput and generalized PPI predictor for proteins regardless of conventional motifs or known biological functions. Our work addresses this need and provides strong evidence of the utility and reliability of protein language models (pLMs) in learning the PPI objective. We demonstrated that with the use of a sizable balanced dataset, pLMs achieve state-of-the-art performance metrics in PPI prediction on diverse proteins. To generate a dataset that allows for the approximation of these conditions, we implemented a novel synthetic data generation scheme to augment BIOGRID and Negatome datasets. The enhancement of these datasets was then used to fine-tune ProtBERT for PPI prediction to develop a model that we call SYNTERACT (SYNThetic data-driven protein-protein intERACtion Transformer). Our results are compelling, demonstrating 92% accuracy on validated positive and negative interacting pairs derived from 50 different organisms, all of which were excluded from the training phase. In addition to the high metrics, secondary analysis revealed that our synthetic negative data was able to successfully mimic actual negative samples, further reinforcing the integrity of synthetic data additions to PPI datasets. Another notable discovery was the ease in which previously existing PPI datasets could be predicted with simplistic features, calling into question if they can actually inform PPI prediction. We find that the subcellular compartment bias inherent to the compilation of these datasets is learnable with deep learning methods and demonstrate that our approach is not burdened by this disadvantage.",,,Unverified,United States of America,ProtBERT-BFD,,,70,,Academia,,,Academia,,,,
Genie (bio),Biology,Protein design,Colombia University,"Yeqing Lin, Mohammed AlQuraishi",2023-01-29,"Generating Novel, Designable, and Diverse Protein Structures by Equivariantly Diffusing Oriented Residue Clouds",https://arxiv.org/abs/2301.12485,,,,4100000.00,"""RFDiffusion also contains around 14 times more parameters than Genie (59.8M versus 4.1M).""",2.0000000000000003e+21,"1. Hardware setup:
- Base Model: 2x NVIDIA A100 (3.12e14 FLOP/s per GPU)
- Genie-SCOPe: 12x NVIDIA A100 (3.12e14 FLOP/s per GPU)
- Genie-SwissProt: 6x NVIDIA A6000 (3.87e13 FLOP/s per GPU)

2. Training duration (directly provided):
- Base Model: 9 days (777,600 seconds)
- Genie-SCOPe: 14 days (1,209,600 seconds)
- Genie-SwissProt: 8 days (691,200 seconds)

3. Utilization rate: 40%

4. Calculations:
Base: 3.12e14 × 2 × 777,600 × 0.4 = 1.94e20 FLOPs
SCOPe: 3.12e14 × 12 × 1,209,600 × 0.4 = 1.81e21 FLOPs
SwissProt: 3.87e13 × 6 × 691,200 × 0.4 = 6.41e19 FLOPs
Total = 2.06e21 FLOPs ≈ 2.0e21 FLOPs",,,40000001,"SCOPe Dataset: 8,766 domains × 200 residues = 1,753,200 residues
AlphaFold-SwissProt: 195,214 proteins × 200 residues = 39,042,800 residues
Total: 1,753,200 + 39,042,800 = 40,796,000 residues ≈ 4.08 × 10⁷",,,"""We train Genie for 50,000 epochs (~9 days). For ",,,,,"Proteins power a vast array of functional processes in living cells. The capability to create new proteins with designed structures and functions would thus enable the engineering of cellular behavior and development of protein-based therapeutics and materials. Structure-based protein design aims to find structures that are designable (can be realized by a protein sequence), novel (have dissimilar geometry from natural proteins), and diverse (span a wide range of geometries). While advances in protein structure prediction have made it possible to predict structures of novel protein sequences, the combinatorially large space of sequences and structures limits the practicality of search-based methods. Generative models provide a compelling alternative, by implicitly learning the low-dimensional structure of complex data distributions. Here, we leverage recent advances in denoising diffusion probabilistic models and equivariant neural networks to develop Genie, a generative model of protein structures that performs discrete-time diffusion using a cloud of oriented reference frames in 3D space. Through in silico evaluations, we demonstrate that Genie generates protein backbones that are more designable, novel, and diverse than existing models. This indicates that Genie is capturing key aspects of the distribution of protein structure space and facilitates protein design with high success rates. Code for generating new proteins and training new versions of Genie is available at https://github. com/aqlaboratory/genie",,,Unverified,United States of America,,,,,,Academia,,,Academia,,,,Hardware
ProteinSGM,Biology,Protein design,University of Toronto,"Jin Sub Lee, Jisun Kim, Philip M. Kim",2023-02-04,ProteinSGM: Score-based generative modeling for de novo protein design,https://www.biorxiv.org/content/10.1101/2022.07.13.499967v2.abstract,,,,,,7500000000000000000.00,"""The model is trained with a single NVIDIA V100 GPU using a batch size of 8 and learning rate 1×10−4 for 2 million iterations, which consumes approximately 7 days."" Assume FP16 precision and 40% utilization. ",,,14001,"Total Proteins: 14,987
Training Set = 14,987 × 0.95 = 14,238
Final Estimate = 1.4 × 10^4 datapoints",,,,NVIDIA V100,1,,,"The generation of de novo protein structures with predefined function and properties remains a challenging problem in protein design. Diffusion models, a novel state-of-the-art class of generative models, have recently shown astounding empirical performance in image synthesis. Here we use image-based representations of protein structure to develop ProteinSGM, a score-based diffusion model that produces realistic de novo proteins and can inpaint plausible backbones and domains into structures of predefined length. With unconditional generation, we show that ProteinSGM can generate native-like protein structures, surpassing the performance of previously reported generative models. We experimentally validate some de novo designs and observe strong structural consistency with generated backbones. Finally, we apply conditional generation to de novo protein design by formulating it as an image inpainting problem, allowing precise and modular design of protein structure.",,,Unverified,Canada,,,,,,Academia,,,Academia,,,664.6544334085605,Hardware
NAEPro,Biology,Protein design,"University of California Santa Barbara (UCSB),Massachusetts Institute of Technology (MIT),Carnegie Mellon University (CMU)","Zhenqiao Song, Yunlong Zhao, Wenxian Shi, Yang Yang, Lei Li",2023-10-06,Functional Geometry Guided Protein Sequence and Backbone Structure Co-Design,https://arxiv.org/abs/2310.04343,,,,,,169999999999999360.00,"1. Hardware setup: 1x NVIDIA RTX A6000 (3.87e13 FLOP/s per GPU, fp16_non_tensor)

2. Training duration: 11,010 seconds (≈3.06 hours) - estimated from:
   - 8,808 proteins / 8 batch size = 1,101 steps per epoch
   - 1,101 steps × 100 epochs = 110,100 total steps
   - Assumed 0.1s per step → 110,100 × 0.1s = 11,010s

3. Utilization rate: 40%

4. Final calculation:
   3.87e13 FLOP/s × 1 GPU × 11,010s × 0.4 = 1.7e17 FLOPs",,,2100001,"β-lactamase calculation: 5,427 proteins × 286 residues = 1,552,122 residues
Myoglobin calculation: 3,381 proteins × 153 residues = 517,143 residues
Total datapoints: 1,552,122 + 517,143 = 2,069,265 residues (≈ 2.1e6)",,,,,,,,"Proteins are macromolecules responsible for essential functions in almost all living organisms. Designing reasonable proteins with desired functions is crucial. A protein’s sequence and structure are strongly correlated and they together determine its function. In this paper, we propose NAEPro, a model to jointly design Protein sequence and structure based on automatically detected functional and conserved sites. NAEPro is powered by an interleaving network of attention and equivariant layers, which can capture global correlation in a whole sequence and local influence from nearest amino acids in three dimensional (3D) space. Such an architecture facilitates effective yet economic message passing at two levels. We evaluate our model and several strong baselines on two protein datasets, β-lactamase and myoglobin. Experimental results show that our model achieves the highest binding affinity scores among the top-5, top-10 and top-30 candidates. These findings prove the capability of our model to design functional proteins. Furthermore, in-depth analysis further confirms our model’s ability to generate highly effective proteins capable of binding to their target metallocofactors1.",,,Unverified,"United States of America,United States of America,United States of America",,,,,,"Academia,Academia,Academia",,,"Academia,Academia,Academia",,,,Hardware
Improved motif-scaffolding with SE(3) flow matching,Biology,Protein design,"University of Oxford,Massachusetts Institute of Technology (MIT),Microsoft Research AI for Science","Jason Yim, Andrew Campbell, Emile Mathieu, Andrew Y. K. Foong, Michael Gastegger, José Jiménez-Luna, Sarah Lewis, Victor Garcia Satorras, Bastiaan S. Veeling, Frank Noé, Regina Barzilay, Tommi S. Jaakkola",2024-01-08,Improved motif-scaffolding with SE(3) flow matching,https://arxiv.org/abs/2401.04082,,,,,,16000000000000008000.00,"1. Hardware: 2x NVIDIA RTX A6000 (3.87e13 FLOP/s per GPU)
2. Training duration: 6 days = 518,400 seconds (directly provided)
3. Utilization: 40%
4. Calculation: 
   2 GPUs × 3.87e13 FLOP/s × 518,400s × 0.40 = 1.6e19 FLOPs",,,,,,,,,,,,"Protein design often begins with the knowledge of a desired function from a motif which motif-scaffolding aims to construct a functional protein around. Recently, generative models have achieved breakthrough success in designing scaffolds for a range of motifs. However, generated scaffolds tend to lack structural diversity, which can hinder success in wet-lab validation. In this work, we extend FrameFlow, an SE(3) flow matching model for protein backbone generation, to perform motif-scaffolding with two complementary approaches. The first is motif amortization, in which FrameFlow is trained with the motif as input using a data augmentation strategy. The second is motif guidance, which performs scaffolding using an estimate of the conditional score from FrameFlow without additional training. On a benchmark of 24 biologically meaningful motifs, we show our method achieves 2.5 times more designable and unique motif-scaffolds compared to state-of-the-art. Code: this https URL",,,Unverified,"United Kingdom of Great Britain and Northern Ireland,United States of America,United States of America,United Kingdom of Great Britain and Northern Ireland,China,Netherlands,Germany",,,,,,"Academia,Academia,Industry",,,"Academia,Academia,Industry",,,,Hardware
ProRNA3D-Single,Biology,Protein folding prediction,,"Rahmatullah Roche, Sumit Tarafder,  Debswapna Bhattacharya",2024-07-28,Single-sequence protein-RNA complex structure prediction by geometric attention-enabled pairing of biological language models,https://www.biorxiv.org/content/10.1101/2024.07.27.605468v1.abstract,,,,,,11000000000000008000.00,"1. Hardware: 1x NVIDIA A100 GPU (3.12e14 FLOP/s in fp16_tensor mode)

2. Training duration: Estimated - 25 hours (100 epochs × 15 min/epoch)

3. Utilization: 40% (0.4)

4. Calculation:
3.12e14 FLOP/s × 1 GPU × 90,000 seconds × 0.4 = 1.1e19 FLOPs",,,940001,"750 complexes × (1000 protein residues + 250 RNA nucleotides) per complex
= 750 × 1250
= 937,500 datapoints
≈ 9.4e5 datapoints",,,,,,,,"Ground-breaking progress has been made in structure prediction of biomolecular assemblies, including the recent breakthrough of AlphaFold 3. However, it remains challenging for AlphaFold 3 and other state-of-the-art deep learning-based methods to accurately predict protein-RNA complex structures, in part due to the limited availability of evolutionary and structural information related to protein-RNA interactions that are used as inputs to the existing approaches. Here, we introduce ProRNA3D-single, a new deep-learning framework for protein-RNA complex structure prediction with only single-sequence input. Using a novel geometric attention-enabled pairing of biological language models of protein and RNA, a previously unexplored avenue, ProRNA3D-single enables the prediction of interatomic protein-RNA interaction maps, which are then transformed into multi-scale geometric restraints for modeling 3D structures of protein-RNA complexes via geometry optimization. Benchmark tests show that ProRNA3D-single convincingly outperforms current stateof-the-art methods including AlphaFold 3, particularly when evolutionary information is limited; and exhibits remarkable robustness and performance resilience by attaining better accuracy with only single-sequence input than what most methods can achieve even with explicit evolutionary information. Freely available at https://github.com/Bhattacharya-Lab/ProRNA3D-single, ProRNA3Dsingle should be broadly useful for modeling 3D structures of protein-RNA complexes at scale, regardless of the availability of evolutionary information.",,,Unverified,,,,,,,,,,,,,,Hardware
CrossBind,Biology,Protein-ligand contact prediction,"Shanghai AI Lab,Fudan University,Loughborough University,Chinese University of Hong Kong (CUHK),Shanghai Jiao Tong University","Linglin Jing, Sheng Xu, Yifan Wang, Yuzhe Zhou, Tao Shen, Zhigang Ji, Hui Fang, Zhen Li, Siqi Sun",2024-03-24,CrossBind: Collaborative Cross-Modal Identification of Protein Nucleic-Acid-Binding Residues,https://ojs.aaai.org/index.php/AAAI/article/view/28044,,,,,,,,,,320001,"Total Proteins = 573 + 495 = 1068
Datapoints = 1068 x 300 = 320,400
Final result = 3.2e5",,,,,,,,"Accurate identification of protein nucleic acid binding residues poses a significant challenge with important implications for various biological processes and drug design. Many typical computational methods for protein analysis rely on a single model that could ignore either the semantic context of the protein or the global 3D geometric information. Consequently, these approaches may result in incomplete or inaccurate protein analysis. To address the above issue, in this paper, we present CrossBind, a novel collaborative cross modal approach for identifying binding residues by exploiting both protein geometric structure and its sequence prior knowledge extracted from a large scale protein language model. Specifically, our multi modal approach leverages a contrastive learning technique and atom wise attention to capture the positional relationships between atoms and residues, thereby incorporating fine grained local geometric knowledge, for better binding residue prediction. Extensive experimental results demonstrate that our approach outperforms the next best state of the art methods, GraphSite and GraphBind, on DNA and RNA datasets by 10.8/17.3% in terms of the harmonic mean of precision and recall (F1 Score) and 11.9/24.8% in Matthews correlation coefficient (MCC), respectively. We release the code at https://github.com/BEAM-Labs/CrossBind.",,,Unverified,"China,China,United Kingdom of Great Britain and Northern Ireland,Hong Kong,China,China",,,,,,"Academia,Academia,Academia,Academia,Academia",,,"Academia,Academia,Academia,Academia,Academia",,,,
MBP,Biology,Protein-ligand binding affinity prediction,"University of Science and Technology of China,Tencent,Zhejiang University","Jiaxian Yan, Zhaofeng Ye, Ziyi Yang, Chengqiang Lu, Shengyu Zhang, Qi Liu, Jiezhong Qiu",2023-12-11,Multi-task bioassay pre-training for protein-ligand binding affinity prediction,https://academic.oup.com/bib/article/25/1/bbad451/7469349,,,,,"Approach 1: training FLOP = 2 * connections * 3 * training examples * epochs. ""For pre-training, the number of epochs was set to 100."" 
1.8e18 FLOP = 2 * connections * 3 *  * 100",1800000000000000000.00,"""We pre-trained our model on one NVIDIA A100-PCIE-40GB for about 16 h and fine-tuned for about 1 h."" Assume 40% utilization and FP16 precision.",,,,,,,,,,,,"Protein–ligand binding affinity (PLBA) prediction is the fundamental task in drug discovery. Recently, various deep learning-based models predict binding affinity by incorporating the three-dimensional (3D) structure of protein–ligand complexes as input and achieving astounding progress. However, due to the scarcity of high-quality training data, the generalization ability of current models is still limited. Although there is a vast amount of affinity data available in large-scale databases such as ChEMBL, issues such as inconsistent affinity measurement labels (i.e. IC50, Ki, Kd), different experimental conditions, and the lack of available 3D binding structures complicate the development of high-precision affinity prediction models using these data. To address these issues, we (i) propose Multi-task Bioassay Pre-training (MBP), a pre-training framework for structure-based PLBA prediction; (ii) construct a pre-training dataset called ChEMBL-Dock with more than 300k experimentally measured affinity labels and about 2.8M docked 3D structures. By introducing multi-task pre-training to treat the prediction of different affinity labels as different tasks and classifying relative rankings between samples from the same bioassay, MBP learns robust and transferrable structural knowledge from our new ChEMBL-Dock dataset with varied and noisy labels. Experiments substantiate the capability of MBP on the structure-based PLBA prediction task. To the best of our knowledge, MBP is the first affinity pre-training model and shows great potential for future development. MBP web-server is now available for free at: https://huggingface.co/spaces/jiaxianustc/mbp.",,,Unverified,"China,China,China",,,,,,"Academia,Industry,Academia",,,"Academia,Industry,Academia",,,,Hardware
PepPrCLIP,Biology,Protein design,"Duke University,Cornell University,Sanford Burnham Prebys Institute","Suhaas Bhat, Kalyan Palepu, Lauren Hong, Joey Mao, Tianzheng Ye, Rema Iyer, Lin Zhao, Tianlai Chen, Sophia Vincoff, Rio Watson, Tian Wang, Divya Srijay, Venkata Srikar Kavirayuni, Kseniia Kholina, Shrey Goel, Pranay Vure, Aniruddha J Desphande, Scott H Soderling, Matthew P DeLisa, Pranam Chatterjee",2024-07-22,De Novo Design of Peptide Binders to Conformationally Diverse Targets with Contrastive Language Modeling,https://pubmed.ncbi.nlm.nih.gov/39091799/,,,,,,1000000000000000000.00,"1. Hardware: 1x NVIDIA A100 80GB GPU (3.12e14 FLOP/s fp16)
2. Training duration: 6 hours (estimated based on dataset size and epochs)
3. Utilization: 40%
4. Calculation: 3.12e14 FLOP/s × 0.4 × (6 × 3600s) = 2.69e18 FLOP ≈ 1.0e18 FLOP",,,11601,"11,597 datapoints from noisy dataset training pairs used for pre-training

11,597 x 1 epoch = 11,597 total datapoints

Final estimate: 11,597 ≈ 1.16e4",56.00,,,NVIDIA A100 SXM4 80 GB,1,,,"Designing binders to target undruggable proteins presents a formidable challenge in drug discovery, requiring innovative approaches to overcome the lack of putative binding sites. Recently, generative models have been trained to design binding proteins via three-dimensional structures of target proteins, but as a result, struggle to design binders to disordered or conformationally unstable targets. In this work, we provide a generalizable algorithmic framework to design short, target-binding linear peptides, requiring only the amino acid sequence of the target protein. To do this, we propose a process to generate naturalistic peptide candidates through Gaussian perturbation of the peptidic latent space of the ESM-2 protein language model, and subsequently screen these novel linear sequences for target-selective interaction activity via a CLIP-based contrastive learning architecture. By integrating these generative and discriminative steps, we create a Peptide Prioritization via CLIP (PepPrCLIP) pipeline and validate highly-ranked, target-specific peptides experimentally, both as inhibitory peptides and as fusions to E3 ubiquitin ligase domains, demonstrating functionally potent binding and degradation of conformationally diverse protein targets in vitro. Overall, our design strategy provides a modular toolkit for designing short binding linear peptides to any target protein without the reliance on stable and ordered tertiary structure, enabling generation of programmable modulators to undruggable and disordered proteins such as transcription factors and fusion oncoproteins.",,,Unverified,"United States of America,United States of America,United States of America",,,,,,"Academia,Academia",,,"Academia,Academia",,,881.7133592995463,Hardware
PepMLM,Biology,Protein generation,"Duke University,Cornell University,McMaster University","Tianlai Chen, Madeleine Dumas, Rio Watson, Sophia Vincoff, Christina Peng, Lin Zhao, Lauren Hong, Sarah Pertsemlidis, Mayumi Shaepers-Cheu, Tian Zi Wang, Divya Srijay, Connor Monticello, Pranay Vure, Rishab Pulugurta, Kseniia Kholina, Shrey Goel, Matthew P DeLisa, Ray Truant, Hector C Aguilar, Pranam Chatterjee",2024-08-11,PepMLM: Target Sequence-Conditioned Generation of Therapeutic Peptide Binders via Span Masked Language Modelin,https://pmc.ncbi.nlm.nih.gov/articles/PMC10593082/,,,,,,,,,,,,,,,,,,,"Target proteins that lack accessible binding pockets and conformational stability have posed increasing challenges for drug development. Induced proximity strategies, such as PROTACs and molecular glues, have thus gained attention as pharmacological alternatives, but still require small molecule docking at binding pockets for targeted protein degradation. The computational design of protein-based binders presents unique opportunities to access ""undruggable"" targets, but have often relied on stable 3D structures or structure-influenced latent spaces for effective binder generation. In this work, we introduce PepMLM, a target sequence-conditioned generator of de novo linear peptide binders. By employing a novel span masking strategy that uniquely positions cognate peptide sequences at the C-terminus of target protein sequences, PepMLM fine-tunes the state-of-the-art ESM-2 pLM to fully reconstruct the binder region, achieving low perplexities matching or improving upon validated peptide-protein sequence pairs. After successful in silico benchmarking with AlphaFold-Multimer, outperforming RFDiffusion on structured targets, we experimentally verify PepMLM's efficacy via fusion of model-derived peptides to E3 ubiquitin ligase domains, demonstrating endogenous degradation of emergent viral phosphoproteins and Huntington's disease-driving proteins. In total, PepMLM enables the generative design of candidate binders to any target protein, without the requirement of target structure, empowering downstream therapeutic applications.",,,Unverified,"United States of America,United States of America,Canada",,,,,,"Academia,Academia,Academia",,,"Academia,Academia,Academia",,,,
CLAPE-DB,Biology,Protein nucleotide interaction prediction,Tsinghua University," Yufan Liu, Boxue Tian",2024-01-03,Protein–DNA binding sites prediction based on pre-trained protein language model and contrastive learning,https://academic.oup.com/bib/article/25/1/bbad488/7505238,,,,,,,,,,474001,"Dataset1 TR646 residues: 314,139
Dataset2 TR573 residues: 159,883
314,139 + 159,883 = 474,022 total residues
Final data points = 474,022",,,,,,,,"Protein–DNA interaction is critical for life activities such as replication, transcription and splicing. Identifying protein–DNA binding residues is essential for modeling their interaction and downstream studies. However, developing accurate and efficient computational methods for this task remains challenging. Improvements in this area have the potential to drive novel applications in biotechnology and drug design. In this study, we propose a novel approach called Contrastive Learning And Pre-trained Encoder (CLAPE), which combines a pre-trained protein language model and the contrastive learning method to predict DNA binding residues. We trained the CLAPE-DB model on the protein–DNA binding sites dataset and evaluated the model performance and generalization ability through various experiments. The results showed that the area under ROC curve values of the CLAPE-DB model on the two benchmark datasets reached 0.871 and 0.881, respectively, indicating superior performance compared to other existing models. CLAPE-DB showed better generalization ability and was specific to DNA-binding sites. In addition, we trained CLAPE on different protein–ligand binding sites datasets, demonstrating that CLAPE is a general framework for binding sites prediction. To facilitate the scientific community, the benchmark datasets and codes are freely available at https://github.com/YAndrewL/clape.",,,Unverified,China,,,,,,Academia,,,Academia,,,,
